year,month,Fuel_Type,value,fuel_category
2002,1,CNG ONLY,47.0,CNG/LPG
2002,1,DIESEL,21546.0,Diesel
2002,1,DIESEL/HYBRID,0.0,Diesel
2002,1,ELECTRIC(BOV),10.0,Electric (EV)
2002,1,LPG ONLY,30.0,CNG/LPG
2002,1,NOT APPLICABLE,1445.0,Unknown/Other
2002,1,PETROL,34528.0,Petrol
2002,1,PETROL/CNG,2330.0,Petrol
2002,1,PETROL/HYBRID,0.0,Petrol
2002,1,PETROL/LPG,3478.0,Petrol
2002,1,SOLAR,1.0,Alternative Fuels
2002,2,CNG ONLY,32.0,CNG/LPG
2002,2,DIESEL,18906.0,Diesel
2002,2,DIESEL/HYBRID,3.0,Diesel
2002,2,ELECTRIC(BOV),7.0,Electric (EV)
2002,2,LPG ONLY,21.0,CNG/LPG
2002,2,NOT APPLICABLE,1422.0,Unknown/Other
2002,2,PETROL,32245.0,Petrol
2002,2,PETROL/CNG,2321.0,Petrol
2002,2,PETROL/HYBRID,0.0,Petrol
2002,2,PETROL/LPG,3264.0,Petrol
2002,2,SOLAR,0.0,Alternative Fuels
2002,3,CNG ONLY,29.0,CNG/LPG
2002,3,DIESEL,20689.0,Diesel
2002,3,DIESEL/HYBRID,1.0,Diesel
2002,3,ELECTRIC(BOV),23.0,Electric (EV)
2002,3,LPG ONLY,31.0,CNG/LPG
2002,3,NOT APPLICABLE,1725.0,Unknown/Other
2002,3,PETROL,35247.0,Petrol
2002,3,PETROL/CNG,2189.0,Petrol
2002,3,PETROL/HYBRID,0.0,Petrol
2002,3,PETROL/LPG,3485.0,Petrol
2002,3,SOLAR,0.0,Alternative Fuels
2002,4,CNG ONLY,18.0,CNG/LPG
2002,4,DIESEL,19291.0,Diesel
2002,4,DIESEL/HYBRID,0.0,Diesel
2002,4,ELECTRIC(BOV),8.0,Electric (EV)
2002,4,LPG ONLY,29.0,CNG/LPG
2002,4,NOT APPLICABLE,1325.0,Unknown/Other
2002,4,PETROL,32692.0,Petrol
2002,4,PETROL/CNG,2213.0,Petrol
2002,4,PETROL/HYBRID,0.0,Petrol
2002,4,PETROL/LPG,3175.0,Petrol
2002,4,SOLAR,0.0,Alternative Fuels
2002,5,CNG ONLY,24.0,CNG/LPG
2002,5,DIESEL,19157.0,Diesel
2002,5,DIESEL/HYBRID,1.0,Diesel
2002,5,ELECTRIC(BOV),19.0,Electric (EV)
2002,5,LPG ONLY,21.0,CNG/LPG
2002,5,NOT APPLICABLE,1428.0,Unknown/Other
2002,5,PETROL,32503.0,Petrol
2002,5,PETROL/CNG,2376.0,Petrol
2002,5,PETROL/HYBRID,1.0,Petrol
2002,5,PETROL/LPG,3102.0,Petrol
2002,5,SOLAR,0.0,Alternative Fuels
2002,6,CNG ONLY,16.0,CNG/LPG
2002,6,DIESEL,19932.0,Diesel
2002,6,DIESEL/HYBRID,0.0,Diesel
2002,6,ELECTRIC(BOV),20.0,Electric (EV)
2002,6,LPG ONLY,23.0,CNG/LPG
2002,6,NOT APPLICABLE,1561.0,Unknown/Other
2002,6,PETROL,29509.0,Petrol
2002,6,PETROL/CNG,2224.0,Petrol
2002,6,PETROL/HYBRID,0.0,Petrol
2002,6,PETROL/LPG,3041.0,Petrol
2002,6,SOLAR,1.0,Alternative Fuels
2002,7,CNG ONLY,30.0,CNG/LPG
2002,7,DIESEL,22908.0,Diesel
2002,7,DIESEL/HYBRID,1.0,Diesel
2002,7,ELECTRIC(BOV),19.0,Electric (EV)
2002,7,LPG ONLY,25.0,CNG/LPG
2002,7,NOT APPLICABLE,1928.0,Unknown/Other
2002,7,PETROL,29580.0,Petrol
2002,7,PETROL/CNG,2258.0,Petrol
2002,7,PETROL/HYBRID,0.0,Petrol
2002,7,PETROL/LPG,2937.0,Petrol
2002,7,SOLAR,0.0,Alternative Fuels
2002,8,CNG ONLY,9.0,CNG/LPG
2002,8,DIESEL,21144.0,Diesel
2002,8,DIESEL/HYBRID,1.0,Diesel
2002,8,ELECTRIC(BOV),26.0,Electric (EV)
2002,8,LPG ONLY,33.0,CNG/LPG
2002,8,NOT APPLICABLE,1783.0,Unknown/Other
2002,8,PETROL,32692.0,Petrol
2002,8,PETROL/CNG,2387.0,Petrol
2002,8,PETROL/HYBRID,0.0,Petrol
2002,8,PETROL/LPG,3045.0,Petrol
2002,8,SOLAR,0.0,Alternative Fuels
2002,9,CNG ONLY,28.0,CNG/LPG
2002,9,DIESEL,20165.0,Diesel
2002,9,DIESEL/HYBRID,0.0,Diesel
2002,9,ELECTRIC(BOV),22.0,Electric (EV)
2002,9,LPG ONLY,28.0,CNG/LPG
2002,9,NOT APPLICABLE,1869.0,Unknown/Other
2002,9,PETROL,33258.0,Petrol
2002,9,PETROL/CNG,2363.0,Petrol
2002,9,PETROL/HYBRID,0.0,Petrol
2002,9,PETROL/LPG,3143.0,Petrol
2002,9,SOLAR,0.0,Alternative Fuels
2002,10,CNG ONLY,21.0,CNG/LPG
2002,10,DIESEL,20604.0,Diesel
2002,10,DIESEL/HYBRID,0.0,Diesel
2002,10,ELECTRIC(BOV),8.0,Electric (EV)
2002,10,LPG ONLY,25.0,CNG/LPG
2002,10,NOT APPLICABLE,1860.0,Unknown/Other
2002,10,PETROL,34463.0,Petrol
2002,10,PETROL/CNG,2956.0,Petrol
2002,10,PETROL/HYBRID,0.0,Petrol
2002,10,PETROL/LPG,3258.0,Petrol
2002,10,SOLAR,0.0,Alternative Fuels
2002,11,CNG ONLY,21.0,CNG/LPG
2002,11,DIESEL,20899.0,Diesel
2002,11,DIESEL/HYBRID,1.0,Diesel
2002,11,ELECTRIC(BOV),16.0,Electric (EV)
2002,11,LPG ONLY,27.0,CNG/LPG
2002,11,NOT APPLICABLE,1867.0,Unknown/Other
2002,11,PETROL,30771.0,Petrol
2002,11,PETROL/CNG,2442.0,Petrol
2002,11,PETROL/HYBRID,0.0,Petrol
2002,11,PETROL/LPG,3112.0,Petrol
2002,11,SOLAR,1.0,Alternative Fuels
2002,12,CNG ONLY,6.0,CNG/LPG
2002,12,DIESEL,18594.0,Diesel
2002,12,DIESEL/HYBRID,1.0,Diesel
2002,12,ELECTRIC(BOV),14.0,Electric (EV)
2002,12,LPG ONLY,20.0,CNG/LPG
2002,12,NOT APPLICABLE,1968.0,Unknown/Other
2002,12,PETROL,27142.0,Petrol
2002,12,PETROL/CNG,1862.0,Petrol
2002,12,PETROL/HYBRID,0.0,Petrol
2002,12,PETROL/LPG,2271.0,Petrol
2002,12,SOLAR,0.0,Alternative Fuels
2003,1,CNG ONLY,21.0,CNG/LPG
2003,1,DIESEL,24629.0,Diesel
2003,1,DIESEL/HYBRID,1.0,Diesel
2003,1,ELECTRIC(BOV),15.0,Electric (EV)
2003,1,LPG ONLY,33.0,CNG/LPG
2003,1,NOT APPLICABLE,2043.0,Unknown/Other
2003,1,PETROL,36890.0,Petrol
2003,1,PETROL/CNG,2896.0,Petrol
2003,1,PETROL/HYBRID,0.0,Petrol
2003,1,PETROL/LPG,3584.0,Petrol
2003,1,SOLAR,2.0,Alternative Fuels
2003,2,CNG ONLY,8.0,CNG/LPG
2003,2,DIESEL,23261.0,Diesel
2003,2,DIESEL/HYBRID,0.0,Diesel
2003,2,ELECTRIC(BOV),28.0,Electric (EV)
2003,2,LPG ONLY,33.0,CNG/LPG
2003,2,NOT APPLICABLE,1993.0,Unknown/Other
2003,2,PETROL,30348.0,Petrol
2003,2,PETROL/CNG,2606.0,Petrol
2003,2,PETROL/HYBRID,0.0,Petrol
2003,2,PETROL/LPG,3107.0,Petrol
2003,2,SOLAR,0.0,Alternative Fuels
2003,3,CNG ONLY,15.0,CNG/LPG
2003,3,DIESEL,29870.0,Diesel
2003,3,DIESEL/HYBRID,0.0,Diesel
2003,3,ELECTRIC(BOV),44.0,Electric (EV)
2003,3,LPG ONLY,44.0,CNG/LPG
2003,3,NOT APPLICABLE,2210.0,Unknown/Other
2003,3,PETROL,39840.0,Petrol
2003,3,PETROL/CNG,3122.0,Petrol
2003,3,PETROL/HYBRID,0.0,Petrol
2003,3,PETROL/LPG,3801.0,Petrol
2003,3,SOLAR,2.0,Alternative Fuels
2003,4,CNG ONLY,23.0,CNG/LPG
2003,4,DIESEL,21531.0,Diesel
2003,4,DIESEL/HYBRID,2.0,Diesel
2003,4,ELECTRIC(BOV),21.0,Electric (EV)
2003,4,LPG ONLY,29.0,CNG/LPG
2003,4,NOT APPLICABLE,1737.0,Unknown/Other
2003,4,PETROL,33169.0,Petrol
2003,4,PETROL/CNG,2387.0,Petrol
2003,4,PETROL/HYBRID,0.0,Petrol
2003,4,PETROL/LPG,2904.0,Petrol
2003,4,SOLAR,0.0,Alternative Fuels
2003,5,CNG ONLY,23.0,CNG/LPG
2003,5,DIESEL,24763.0,Diesel
2003,5,DIESEL/HYBRID,1.0,Diesel
2003,5,ELECTRIC(BOV),34.0,Electric (EV)
2003,5,LPG ONLY,26.0,CNG/LPG
2003,5,NOT APPLICABLE,1849.0,Unknown/Other
2003,5,PETROL,36476.0,Petrol
2003,5,PETROL/CNG,2691.0,Petrol
2003,5,PETROL/HYBRID,1.0,Petrol
2003,5,PETROL/LPG,3300.0,Petrol
2003,5,SOLAR,0.0,Alternative Fuels
2003,6,CNG ONLY,21.0,CNG/LPG
2003,6,DIESEL,24753.0,Diesel
2003,6,DIESEL/HYBRID,1.0,Diesel
2003,6,ELECTRIC(BOV),26.0,Electric (EV)
2003,6,LPG ONLY,26.0,CNG/LPG
2003,6,NOT APPLICABLE,2207.0,Unknown/Other
2003,6,PETROL,35675.0,Petrol
2003,6,PETROL/CNG,2655.0,Petrol
2003,6,PETROL/HYBRID,1.0,Petrol
2003,6,PETROL/LPG,3149.0,Petrol
2003,6,SOLAR,1.0,Alternative Fuels
2003,7,CNG ONLY,26.0,CNG/LPG
2003,7,DIESEL,25822.0,Diesel
2003,7,DIESEL/HYBRID,2.0,Diesel
2003,7,ELECTRIC(BOV),22.0,Electric (EV)
2003,7,LPG ONLY,28.0,CNG/LPG
2003,7,NOT APPLICABLE,2187.0,Unknown/Other
2003,7,PETROL,38360.0,Petrol
2003,7,PETROL/CNG,3231.0,Petrol
2003,7,PETROL/HYBRID,1.0,Petrol
2003,7,PETROL/LPG,3457.0,Petrol
2003,7,SOLAR,0.0,Alternative Fuels
2003,8,CNG ONLY,28.0,CNG/LPG
2003,8,DIESEL,23218.0,Diesel
2003,8,DIESEL/HYBRID,1.0,Diesel
2003,8,ELECTRIC(BOV),28.0,Electric (EV)
2003,8,LPG ONLY,27.0,CNG/LPG
2003,8,NOT APPLICABLE,1636.0,Unknown/Other
2003,8,PETROL,35593.0,Petrol
2003,8,PETROL/CNG,2803.0,Petrol
2003,8,PETROL/HYBRID,0.0,Petrol
2003,8,PETROL/LPG,3121.0,Petrol
2003,8,SOLAR,0.0,Alternative Fuels
2003,9,CNG ONLY,22.0,CNG/LPG
2003,9,DIESEL,24715.0,Diesel
2003,9,DIESEL/HYBRID,3.0,Diesel
2003,9,ELECTRIC(BOV),25.0,Electric (EV)
2003,9,LPG ONLY,31.0,CNG/LPG
2003,9,NOT APPLICABLE,1983.0,Unknown/Other
2003,9,PETROL,36748.0,Petrol
2003,9,PETROL/CNG,2851.0,Petrol
2003,9,PETROL/HYBRID,0.0,Petrol
2003,9,PETROL/LPG,3162.0,Petrol
2003,9,SOLAR,0.0,Alternative Fuels
2003,10,CNG ONLY,36.0,CNG/LPG
2003,10,DIESEL,26342.0,Diesel
2003,10,DIESEL/HYBRID,3.0,Diesel
2003,10,ELECTRIC(BOV),24.0,Electric (EV)
2003,10,LPG ONLY,23.0,CNG/LPG
2003,10,NOT APPLICABLE,1787.0,Unknown/Other
