year,STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
2002,DELHI,0,0,1,0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,12
2002,GOA,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2002,GUJARAT,0,2,0,2,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,10
2002,HIMACHAL PRADESH,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
2002,JAMMU AND KASHMIR,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
2002,KARNATAKA,2,2,11,1,9.0,8.0,8.0,6.0,13.0,4.0,5.0,4.0,73
2002,KERALA,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2002,MADHYA PRADESH,0,0,1,0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,8
2002,MAHARASHTRA,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5
2002,PUDUCHERRY,1,0,0,0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5
2002,SIKKIM,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,TAMIL NADU,3,1,3,4,3.0,6.0,3.0,7.0,6.0,3.0,4.0,2.0,45
2002,UTTAR PRADESH,1,2,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7
2002,WEST BENGAL,1,0,7,1,0.0,0.0,1.0,3.0,0.0,0.0,4.0,1.0,18
2003,ANDAMAN & NICOBAR ISLAND,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2003,ANDHRA PRADESH,0,1,2,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7
2003,ASSAM,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2003,DELHI,1,3,0,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7
2003,GOA,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2003,GUJARAT,1,0,0,0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,10
2003,HIMACHAL PRADESH,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2003,JHARKHAND,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2003,KARNATAKA,5,17,35,16,22.0,22.0,14.0,19.0,14.0,15.0,6.0,6.0,191
2003,KERALA,2,0,0,0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8
2003,MAHARASHTRA,1,0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6
2003,PUDUCHERRY,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2003,PUNJAB,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2003,RAJASTHAN,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3
2003,TAMIL NADU,3,7,3,3,5.0,2.0,6.0,2.0,2.0,2.0,4.0,1.0,40
2003,UTTAR PRADESH,0,0,3,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9
2003,WEST BENGAL,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
