YEAR,STATE,Fuel_Type,Registrations
2002,ANDAMAN & NICOBAR ISLAND,CNG ONLY,0
2002,ANDHRA PRADESH,CNG ONLY,4
2002,ARUNACHAL PRADESH,CNG ONLY,0
2002,ASSAM,CNG ONLY,0
2002,BIHAR,CNG ONLY,0
2002,CHANDIGARH,CNG ONLY,0
2002,CHHATTISGARH,CNG ONLY,0
2002,DELHI,CNG ONLY,149
2002,GOA,CNG ONLY,0
2002,GUJARAT,CNG ONLY,3
2002,HARYANA,CNG ONLY,0
2002,HIMACHAL PRADESH,CNG ONLY,1
2002,JAMMU AND KASHMIR,CNG ONLY,0
2002,JHARKHAND,CNG ONLY,1
2002,KARNATAKA,CNG ONLY,3
2002,KERALA,CNG ONLY,2
2002,LADAKH,CNG ONLY,0
2002,LAKSHADWEEP,CNG ONLY,0
2002,MADHYA PRADESH,CNG ONLY,10
2002,MAHARASHTRA,CNG ONLY,5
2002,MANIPUR,CNG ONLY,0
2002,MEGHALAYA,CNG ONLY,0
2002,MIZORAM,CNG ONLY,0
2002,NAGALAND,CNG ONLY,0
2002,ODISHA,CNG ONLY,0
2002,PUDUCHERRY,CNG ONLY,0
2002,PUNJAB,CNG ONLY,13
2002,RAJASTHAN,CNG ONLY,0
2002,SIKKIM,CNG ONLY,0
2002,TAMIL NADU,CNG ONLY,0
2002,TRIPURA,CNG ONLY,48
2002,UT OF DNH AND DD,CNG ONLY,1
2002,UTTARAKHAND,CNG ONLY,0
2002,UTTAR PRADESH,CNG ONLY,38
2002,WEST BENGAL,CNG ONLY,3
2002,ANDAMAN & NICOBAR ISLAND,DIESEL,56
2002,ANDHRA PRADESH,DIESEL,"10,287"
2002,ARUNACHAL PRADESH,DIESEL,116
2002,ASSAM,DIESEL,692
2002,BIHAR,DIESEL,238
2002,CHANDIGARH,DIESEL,679
2002,CHHATTISGARH,DIESEL,"3,314"
2002,DELHI,DIESEL,"14,942"
2002,GOA,DIESEL,680
2002,GUJARAT,DIESEL,"12,195"
2002,HARYANA,DIESEL,"7,523"
2002,HIMACHAL PRADESH,DIESEL,"1,633"
2002,JAMMU AND KASHMIR,DIESEL,211
2002,JHARKHAND,DIESEL,"3,041"
2002,KARNATAKA,DIESEL,"25,942"
2002,KERALA,DIESEL,"12,794"
2002,LADAKH,DIESEL,20
2002,LAKSHADWEEP,DIESEL,0
2002,MADHYA PRADESH,DIESEL,"23,416"
2002,MAHARASHTRA,DIESEL,"17,872"
2002,MANIPUR,DIESEL,124
2002,MEGHALAYA,DIESEL,526
2002,MIZORAM,DIESEL,176
2002,NAGALAND,DIESEL,307
2002,ODISHA,DIESEL,"3,691"
2002,PUDUCHERRY,DIESEL,573
2002,PUNJAB,DIESEL,"6,741"
2002,RAJASTHAN,DIESEL,"19,643"
2002,SIKKIM,DIESEL,66
2002,TAMIL NADU,DIESEL,"19,946"
2002,TRIPURA,DIESEL,183
2002,UT OF DNH AND DD,DIESEL,555
2002,UTTARAKHAND,DIESEL,"1,618"
2002,UTTAR PRADESH,DIESEL,"45,576"
2002,WEST BENGAL,DIESEL,"8,357"
2002,ANDAMAN & NICOBAR ISLAND,DIESEL/HYBRID,0
2002,ANDHRA PRADESH,DIESEL/HYBRID,0
2002,ARUNACHAL PRADESH,DIESEL/HYBRID,0
2002,ASSAM,DIESEL/HYBRID,0
2002,BIHAR,DIESEL/HYBRID,0
2002,CHANDIGARH,DIESEL/HYBRID,1
2002,CHHATTISGARH,DIESEL/HYBRID,0
2002,DELHI,DIESEL/HYBRID,0
2002,GOA,DIESEL/HYBRID,0
2002,GUJARAT,DIESEL/HYBRID,1
2002,HARYANA,DIESEL/HYBRID,0
2002,HIMACHAL PRADESH,DIESEL/HYBRID,0
2002,JAMMU AND KASHMIR,DIESEL/HYBRID,0
2002,JHARKHAND,DIESEL/HYBRID,0
2002,KARNATAKA,DIESEL/HYBRID,0
2002,KERALA,DIESEL/HYBRID,4
2002,LADAKH,DIESEL/HYBRID,0
2002,LAKSHADWEEP,DIESEL/HYBRID,0
2002,MADHYA PRADESH,DIESEL/HYBRID,0
2002,MAHARASHTRA,DIESEL/HYBRID,0
2002,MANIPUR,DIESEL/HYBRID,0
2002,MEGHALAYA,DIESEL/HYBRID,0
2002,MIZORAM,DIESEL/HYBRID,0
2002,NAGALAND,DIESEL/HYBRID,0
2002,ODISHA,DIESEL/HYBRID,0
2002,PUDUCHERRY,DIESEL/HYBRID,0
2002,PUNJAB,DIESEL/HYBRID,0
2002,RAJASTHAN,DIESEL/HYBRID,1
2002,SIKKIM,DIESEL/HYBRID,0
2002,TAMIL NADU,DIESEL/HYBRID,2
2002,TRIPURA,DIESEL/HYBRID,0
2002,UT OF DNH AND DD,DIESEL/HYBRID,0
2002,UTTARAKHAND,DIESEL/HYBRID,0
2002,UTTAR PRADESH,DIESEL/HYBRID,0
2002,WEST BENGAL,DIESEL/HYBRID,0
2002,ANDAMAN & NICOBAR ISLAND,DI-METHYL ETHER,0
2002,ANDHRA PRADESH,DI-METHYL ETHER,0
2002,ARUNACHAL PRADESH,DI-METHYL ETHER,0
2002,ASSAM,DI-METHYL ETHER,0
2002,BIHAR,DI-METHYL ETHER,0
2002,CHANDIGARH,DI-METHYL ETHER,0
2002,CHHATTISGARH,DI-METHYL ETHER,0
2002,DELHI,DI-METHYL ETHER,0
2002,GOA,DI-METHYL ETHER,0
2002,GUJARAT,DI-METHYL ETHER,0
2002,HARYANA,DI-METHYL ETHER,0
2002,HIMACHAL PRADESH,DI-METHYL ETHER,0
2002,JAMMU AND KASHMIR,DI-METHYL ETHER,0
2002,JHARKHAND,DI-METHYL ETHER,0
2002,KARNATAKA,DI-METHYL ETHER,0
2002,KERALA,DI-METHYL ETHER,0
2002,LADAKH,DI-METHYL ETHER,0
2002,LAKSHADWEEP,DI-METHYL ETHER,0
2002,MADHYA PRADESH,DI-METHYL ETHER,0
2002,MAHARASHTRA,DI-METHYL ETHER,0
2002,MANIPUR,DI-METHYL ETHER,0
2002,MEGHALAYA,DI-METHYL ETHER,0
2002,MIZORAM,DI-METHYL ETHER,0
2002,NAGALAND,DI-METHYL ETHER,0
2002,ODISHA,DI-METHYL ETHER,0
2002,PUDUCHERRY,DI-METHYL ETHER,0
2002,PUNJAB,DI-METHYL ETHER,0
2002,RAJASTHAN,DI-METHYL ETHER,0
2002,SIKKIM,DI-METHYL ETHER,0
2002,TAMIL NADU,DI-METHYL ETHER,0
2002,TRIPURA,DI-METHYL ETHER,0
2002,UT OF DNH AND DD,DI-METHYL ETHER,0
2002,UTTARAKHAND,DI-METHYL ETHER,0
2002,UTTAR PRADESH,DI-METHYL ETHER,0
2002,WEST BENGAL,DI-METHYL ETHER,0
2002,ANDAMAN & NICOBAR ISLAND,DUAL DIESEL/BIO CNG,0
2002,ANDHRA PRADESH,DUAL DIESEL/BIO CNG,0
2002,ARUNACHAL PRADESH,DUAL DIESEL/BIO CNG,0
2002,ASSAM,DUAL DIESEL/BIO CNG,0
2002,BIHAR,DUAL DIESEL/BIO CNG,0
2002,CHANDIGARH,DUAL DIESEL/BIO CNG,0
2002,CHHATTISGARH,DUAL DIESEL/BIO CNG,0
2002,DELHI,DUAL DIESEL/BIO CNG,0
2002,GOA,DUAL DIESEL/BIO CNG,0
2002,GUJARAT,DUAL DIESEL/BIO CNG,0
2002,HARYANA,DUAL DIESEL/BIO CNG,0
2002,HIMACHAL PRADESH,DUAL DIESEL/BIO CNG,0
2002,JAMMU AND KASHMIR,DUAL DIESEL/BIO CNG,0
2002,JHARKHAND,DUAL DIESEL/BIO CNG,0
2002,KARNATAKA,DUAL DIESEL/BIO CNG,0
2002,KERALA,DUAL DIESEL/BIO CNG,0
2002,LADAKH,DUAL DIESEL/BIO CNG,0
2002,LAKSHADWEEP,DUAL DIESEL/BIO CNG,0
2002,MADHYA PRADESH,DUAL DIESEL/BIO CNG,0
2002,MAHARASHTRA,DUAL DIESEL/BIO CNG,0
2002,MANIPUR,DUAL DIESEL/BIO CNG,0
2002,MEGHALAYA,DUAL DIESEL/BIO CNG,0
2002,MIZORAM,DUAL DIESEL/BIO CNG,0
2002,NAGALAND,DUAL DIESEL/BIO CNG,0
2002,ODISHA,DUAL DIESEL/BIO CNG,0
2002,PUDUCHERRY,DUAL DIESEL/BIO CNG,0
2002,PUNJAB,DUAL DIESEL/BIO CNG,0
2002,RAJASTHAN,DUAL DIESEL/BIO CNG,0
2002,SIKKIM,DUAL DIESEL/BIO CNG,0
2002,TAMIL NADU,DUAL DIESEL/BIO CNG,0
2002,TRIPURA,DUAL DIESEL/BIO CNG,0
2002,UT OF DNH AND DD,DUAL DIESEL/BIO CNG,0
2002,UTTARAKHAND,DUAL DIESEL/BIO CNG,0
2002,UTTAR PRADESH,DUAL DIESEL/BIO CNG,0
2002,WEST BENGAL,DUAL DIESEL/BIO CNG,0
2002,ANDAMAN & NICOBAR ISLAND,DUAL DIESEL/CNG,0
2002,ANDHRA PRADESH,DUAL DIESEL/CNG,0
2002,ARUNACHAL PRADESH,DUAL DIESEL/CNG,0
2002,ASSAM,DUAL DIESEL/CNG,0
2002,BIHAR,DUAL DIESEL/CNG,0
2002,CHANDIGARH,DUAL DIESEL/CNG,0
2002,CHHATTISGARH,DUAL DIESEL/CNG,0
2002,DELHI,DUAL DIESEL/CNG,0
2002,GOA,DUAL DIESEL/CNG,0
2002,GUJARAT,DUAL DIESEL/CNG,0
2002,HARYANA,DUAL DIESEL/CNG,0
2002,HIMACHAL PRADESH,DUAL DIESEL/CNG,0
2002,JAMMU AND KASHMIR,DUAL DIESEL/CNG,0
2002,JHARKHAND,DUAL DIESEL/CNG,0
2002,KARNATAKA,DUAL DIESEL/CNG,0
2002,KERALA,DUAL DIESEL/CNG,0
2002,LADAKH,DUAL DIESEL/CNG,0
2002,LAKSHADWEEP,DUAL DIESEL/CNG,0
2002,MADHYA PRADESH,DUAL DIESEL/CNG,0
2002,MAHARASHTRA,DUAL DIESEL/CNG,0
2002,MANIPUR,DUAL DIESEL/CNG,0
2002,MEGHALAYA,DUAL DIESEL/CNG,0
2002,MIZORAM,DUAL DIESEL/CNG,0
2002,NAGALAND,DUAL DIESEL/CNG,0
2002,ODISHA,DUAL DIESEL/CNG,0
2002,PUDUCHERRY,DUAL DIESEL/CNG,0
2002,PUNJAB,DUAL DIESEL/CNG,0
2002,RAJASTHAN,DUAL DIESEL/CNG,0
2002,SIKKIM,DUAL DIESEL/CNG,0
2002,TAMIL NADU,DUAL DIESEL/CNG,0
2002,TRIPURA,DUAL DIESEL/CNG,0
2002,UT OF DNH AND DD,DUAL DIESEL/CNG,0
2002,UTTARAKHAND,DUAL DIESEL/CNG,0
2002,UTTAR PRADESH,DUAL DIESEL/CNG,0
2002,WEST BENGAL,DUAL DIESEL/CNG,0
2002,ANDAMAN & NICOBAR ISLAND,DUAL DIESEL/LNG,0
2002,ANDHRA PRADESH,DUAL DIESEL/LNG,0
2002,ARUNACHAL PRADESH,DUAL DIESEL/LNG,0
2002,ASSAM,DUAL DIESEL/LNG,0
2002,BIHAR,DUAL DIESEL/LNG,0
2002,CHANDIGARH,DUAL DIESEL/LNG,0
2002,CHHATTISGARH,DUAL DIESEL/LNG,0
2002,DELHI,DUAL DIESEL/LNG,0
2002,GOA,DUAL DIESEL/LNG,0
2002,GUJARAT,DUAL DIESEL/LNG,0
2002,HARYANA,DUAL DIESEL/LNG,0
2002,HIMACHAL PRADESH,DUAL DIESEL/LNG,0
2002,JAMMU AND KASHMIR,DUAL DIESEL/LNG,0
2002,JHARKHAND,DUAL DIESEL/LNG,0
2002,KARNATAKA,DUAL DIESEL/LNG,0
2002,KERALA,DUAL DIESEL/LNG,0
2002,LADAKH,DUAL DIESEL/LNG,0
2002,LAKSHADWEEP,DUAL DIESEL/LNG,0
2002,MADHYA PRADESH,DUAL DIESEL/LNG,0
2002,MAHARASHTRA,DUAL DIESEL/LNG,0
2002,MANIPUR,DUAL DIESEL/LNG,0
2002,MEGHALAYA,DUAL DIESEL/LNG,0
2002,MIZORAM,DUAL DIESEL/LNG,0
2002,NAGALAND,DUAL DIESEL/LNG,0
2002,ODISHA,DUAL DIESEL/LNG,0
2002,PUDUCHERRY,DUAL DIESEL/LNG,0
2002,PUNJAB,DUAL DIESEL/LNG,0
2002,RAJASTHAN,DUAL DIESEL/LNG,0
2002,SIKKIM,DUAL DIESEL/LNG,0
2002,TAMIL NADU,DUAL DIESEL/LNG,0
2002,TRIPURA,DUAL DIESEL/LNG,0
2002,UT OF DNH AND DD,DUAL DIESEL/LNG,0
2002,UTTARAKHAND,DUAL DIESEL/LNG,0
2002,UTTAR PRADESH,DUAL DIESEL/LNG,0
2002,WEST BENGAL,DUAL DIESEL/LNG,0
2002,ANDAMAN & NICOBAR ISLAND,ELECTRIC(BOV),0
2002,ANDHRA PRADESH,ELECTRIC(BOV),0
