,Fuel Type,2024,2023,2022,2021,2020,2019,2018,2017,2016
1,CNG ONLY,"4,82,363","4,21,341","2,97,450","1,66,339","43,257","33,539","31,498","26,269","30,256"
2,DIESEL,"26,38,300","25,69,397","23,46,314","20,14,421","20,25,883","29,26,791","31,83,671","28,67,205","27,52,005"
3,DIESEL/HYBRID,"5,249","2,462",737,35,"2,917","39,108","59,554","48,500","11,351"
4,DUAL DIESEL/BIO CNG,0,0,0,0,1,0,0,0,1
5,DUAL DIESEL/CNG,0,0,5,15,1,7,5,4,14
6,DUAL DIESEL/LNG,21,0,1,0,0,"1,66,885","1,30,243","87,389","49,825"
7,ELECTRIC(BOV),"14,57,348","15,32,423","10,24,996","3,32,371","1,24,672",8,17,22,3
8,ETHANOL,183,0,2,0,3,0,0,1,0
9,FUEL CELL HYDROGEN,15,0,0,0,0,7,0,2,5
10,LNG,349,244,20,3,14,"3,866","4,067","3,813","3,969"
11,LPG ONLY,"32,637","26,812","14,404","13,410","9,912",2,0,0,0
12,METHANOL,0,0,0,2,2,"89,243","1,14,268","1,08,575","1,30,409"
13,NOT APPLICABLE,"63,160","66,379","80,469","82,529","84,081","2,02,91,107","2,12,97,715","1,97,25,544","1,79,24,529"
14,PETROL,"1,92,90,384","1,81,31,493","1,71,78,363","1,58,80,107","1,59,75,775","4,21,331","4,63,465","3,46,070","3,37,314"
15,PETROL/CNG,"7,29,461","5,43,579","4,33,509","2,79,199","2,40,189",3,1,2,2
16,PETROL/ETHANOL,"6,56,923","3,79,863",1,1,4,"76,169","11,749",709,530
17,PETROL/HYBRID,"2,95,083","3,31,239","1,92,295","1,25,648","86,218","1,09,314","1,24,160","88,195","82,645"
18,PETROL/LPG,"4,976","5,881","12,109","20,382","40,275",1,0,3,2
19,PLUG-IN HYBRID EV,42,0,0,0,0,1,64,139,234
20,PURE EV,"4,93,178",9,0,0,0,0,1,0,0
21,SOLAR,1,0,0,1,0,0,0,0,0
22,STRONG HYBRID EV,"58,263",1,1,0,0,0,0,0,0
