year,fuel_type,4WIC,LMV,MMV,HMV,TOTAL
2002,CNG ONLY,0,272,0,0,272
2002,DIESEL,4,"1,47,818",45,51,"1,47,918"
2002,DIESEL/HYBRID,0,6,0,0,6
2002,ELECTRIC(BOV),0,145,0,0,145
2002,LPG ONLY,0,302,0,0,302
2002,NOT APPLICABLE,0,"1,903",0,8,"1,911"
2002,PETROL,22,"3,82,693",10,3,"3,82,728"
2002,PETROL/CNG,3,"27,931",0,0,"27,934"
2002,PETROL/HYBRID,0,1,0,0,1
2002,PETROL/LPG,3,"37,256",5,1,"37,265"
2003,CNG ONLY,0,266,1,0,267
2003,DIESEL,8,"1,97,844",43,66,"1,97,961"
2003,DIESEL/HYBRID,0,12,0,0,12
2003,ELECTRIC(BOV),0,261,0,0,261
2003,LPG ONLY,0,352,0,0,352
2003,NOT APPLICABLE,0,"2,031",0,0,"2,031"
2003,PETROL,41,"4,34,150",15,1,"4,34,207"
2003,PETROL/CNG,11,"35,107",0,0,"35,118"
2003,PETROL/HYBRID,0,4,0,0,4
2003,PETROL/LPG,4,"39,391",3,0,"39,398"
2003,SOLAR,0,4,0,0,4
2004,CNG ONLY,0,786,0,0,786
2004,DIESEL,10,"2,51,669",55,34,"2,51,768"
2004,DIESEL/HYBRID,0,14,0,0,14
2004,ELECTRIC(BOV),0,200,0,0,200
2004,ETHANOL,0,1,0,0,1
2004,LPG ONLY,0,736,0,0,736
2004,NOT APPLICABLE,0,"1,974",0,0,"1,974"
2004,PETROL,57,"5,32,273",8,1,"5,32,339"
2004,PETROL/CNG,10,"51,477",0,0,"51,487"
2004,PETROL/HYBRID,0,6,0,0,6
2004,PETROL/LPG,4,"45,927",2,0,"45,933"
2004,SOLAR,0,4,0,0,4
2005,CNG ONLY,0,801,0,0,801
2005,DIESEL,9,"2,74,438",48,26,"2,74,521"
2005,DIESEL/HYBRID,0,21,0,0,21
2005,ELECTRIC(BOV),0,164,0,0,164
2005,LNG,0,1,0,0,1
2005,LPG ONLY,0,"1,055",0,0,"1,055"
2005,METHANOL,0,2,0,0,2
2005,NOT APPLICABLE,0,"2,015",0,0,"2,015"
2005,PETROL,41,"5,65,343",10,2,"5,65,396"
2005,PETROL/CNG,11,"63,391",0,0,"63,402"
2005,PETROL/HYBRID,0,4,0,0,4
2005,PETROL/LPG,8,"45,866",0,0,"45,874"
2005,SOLAR,1,9,0,0,10
2006,CNG ONLY,0,796,0,0,796
2006,DIESEL,15,"3,28,030",26,18,"3,28,089"
2006,DIESEL/HYBRID,0,21,0,0,21
2006,ELECTRIC(BOV),0,217,0,0,217
2006,ETHANOL,0,1,0,0,1
2006,LNG,0,1,0,0,1
2006,LPG ONLY,0,"1,628",0,0,"1,628"
2006,NOT APPLICABLE,1,"2,850",1,0,"2,852"
2006,PETROL,52,"6,62,361",7,4,"6,62,424"
2006,PETROL/CNG,17,"80,968",0,0,"80,985"
2006,PETROL/ETHANOL,0,1,0,0,1
2006,PETROL/HYBRID,0,2,0,0,2
2006,PETROL/LPG,6,"59,618",3,0,"59,627"
2006,SOLAR,0,13,0,0,13
2007,CNG ONLY,0,258,0,0,258
2007,DIESEL,17,"4,02,570",25,17,"4,02,629"
2007,DIESEL/HYBRID,0,18,0,0,18
2007,DI-METHYL ETHER,0,1,0,0,1
2007,ELECTRIC(BOV),0,255,0,0,255
2007,ETHANOL,0,1,0,0,1
2007,LNG,0,1,0,0,1
2007,LPG ONLY,0,"2,506",0,0,"2,506"
2007,NOT APPLICABLE,0,"3,365",0,0,"3,365"
2007,PETROL,59,"7,54,136",1,1,"7,54,197"
2007,PETROL/CNG,19,"1,00,806",0,0,"1,00,825"
2007,PETROL/HYBRID,0,6,0,0,6
2007,PETROL/LPG,5,"82,017",0,0,"82,022"
2007,SOLAR,0,4,0,0,4
2008,CNG ONLY,0,233,0,0,233
2008,DIESEL,17,"4,86,683",56,22,"4,86,778"
2008,DIESEL/HYBRID,0,15,0,0,15
2008,DUAL DIESEL/CNG,0,2,0,0,2
2008,ELECTRIC(BOV),0,505,0,0,505
2008,FUEL CELL HYDROGEN,0,1,0,0,1
2008,LPG ONLY,0,"1,554",0,0,"1,554"
