year,Fuel_Type,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
2002,CNG ONLY,47,32,29,18,24.0,16.0,30.0,9.0,28.0,21.0,21.0,6.0,281
2002,DIESEL,21546,18906,20689,19291,19157.0,19932.0,22908.0,21144.0,20165.0,20604.0,20899.0,18594.0,243835
2002,DIESEL/HYBRID,0,3,1,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,9
2002,ELECTRIC(BOV),10,7,23,8,19.0,20.0,19.0,26.0,22.0,8.0,16.0,14.0,192
2002,LPG ONLY,30,21,31,29,21.0,23.0,25.0,33.0,28.0,25.0,27.0,20.0,313
2002,NOT APPLICABLE,1445,1422,1725,1325,1428.0,1561.0,1928.0,1783.0,1869.0,1860.0,1867.0,1968.0,20181
2002,PETROL,34528,32245,35247,32692,32503.0,29509.0,29580.0,32692.0,33258.0,34463.0,30771.0,27142.0,384630
2002,PETROL/CNG,2330,2321,2189,2213,2376.0,2224.0,2258.0,2387.0,2363.0,2956.0,2442.0,1862.0,27921
2002,PETROL/HYBRID,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,PETROL/LPG,3478,3264,3485,3175,3102.0,3041.0,2937.0,3045.0,3143.0,3258.0,3112.0,2271.0,37311
2002,SOLAR,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3
2003,CNG ONLY,21,8,15,23,23.0,21.0,26.0,28.0,22.0,36.0,26.0,20.0,269
2003,DIESEL,24629,23261,29870,21531,24763.0,24753.0,25822.0,23218.0,24715.0,26342.0,24065.0,23936.0,296905
2003,DIESEL/HYBRID,1,0,0,2,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,17
2003,ELECTRIC(BOV),15,28,44,21,34.0,26.0,22.0,28.0,25.0,24.0,12.0,13.0,292
2003,LPG ONLY,33,33,44,29,26.0,26.0,28.0,27.0,31.0,23.0,29.0,29.0,358
2003,NOT APPLICABLE,2043,1993,2210,1737,1849.0,2207.0,2187.0,1636.0,1983.0,1787.0,1880.0,2361.0,23873
2003,PETROL,36890,30348,39840,33169,36476.0,35675.0,38360.0,35593.0,36748.0,39405.0,36608.0,36653.0,435765
