date,CNG/LPG,Diesel,Electric (EV),Hybrid EV,Other/Unknown,Petrol,Electrified (EV + Hybrid),Electrified_YoY_Growth (%)
2002-01-01,77,21546,10,0,1446,40336,10,
2002-02-01,53,18909,7,0,1422,37830,7,-30.000000000000004
2002-03-01,60,20690,23,0,1725,40921,23,228.57142857142856
2002-04-01,47,19291,8,0,1325,38080,8,-65.21739130434783
2002-05-01,45,19158,19,0,1428,37982,19,137.5
2002-06-01,39,19932,20,0,1562,34774,20,5.263157894736836
2002-07-01,55,22909,19,0,1928,34775,19,-5.000000000000004
2002-08-01,42,21145,26,0,1783,38124,26,36.8421052631579
2002-09-01,56,20165,22,0,1869,38764,22,-15.384615384615385
2002-10-01,46,20604,8,0,1860,40677,8,-63.63636363636363
2002-11-01,48,20900,16,0,1868,36325,16,100.0
2002-12-01,26,18595,14,0,1968,31275,14,-12.5
2003-01-01,54,24630,15,0,2045,43370,15,7.14285714285714
2003-02-01,41,23261,28,0,1993,36061,28,86.66666666666667
2003-03-01,59,29870,44,0,2212,46763,44,57.14285714285714
2003-04-01,52,21533,21,0,1737,38460,21,-52.27272727272727
2003-05-01,49,24764,34,0,1849,42468,34,61.904761904761905
2003-06-01,47,24754,26,0,2208,41480,26,-23.529411764705888
2003-07-01,54,25824,22,0,2187,45049,22,-15.384615384615385
2003-08-01,55,23219,28,0,1636,41517,28,27.27272727272727
2003-09-01,53,24718,25,0,1983,42761,25,-10.71428571428571
2003-10-01,59,26345,24,0,1788,46841,24,-4.0000000000000036
2003-11-01,55,24066,12,0,1880,42986,12,-50.0
2003-12-01,49,23938,13,0,2361,42589,13,8.333333333333325
2004-01-01,101,32012,18,0,2428,57889,18,38.46153846153846
2004-02-01,88,28746,4,0,2372,46438,4,-77.77777777777779
2004-03-01,77,34468,18,0,2993,57481,18,350.0
2004-04-01,131,30373,30,0,2276,55827,30,66.66666666666667
2004-05-01,108,28750,18,0,2120,47405,18,-40.0
2004-06-01,95,33259,16,0,2758,49288,16,-11.111111111111116
2004-07-01,121,35978,21,0,3062,53234,21,31.25
2004-08-01,136,29253,9,0,2437,46652,9,-57.14285714285714
2004-09-01,166,31612,23,0,2475,50936,23,155.55555555555554
2004-10-01,143,29940,25,0,2238,50172,25,8.695652173913038
2004-11-01,192,31417,28,0,2296,58378,28,12.00000000000001
2004-12-01,183,31991,21,0,2741,57570,21,-25.0
2005-01-01,180,34748,13,0,2504,57188,13,-38.095238095238095
2005-02-01,181,34318,11,0,2820,50485,11,-15.384615384615385
2005-03-01,174,40012,16,0,3618,59768,16,45.45454545454546
2005-04-01,136,32591,9,0,2831,53434,9,-43.75
2005-05-01,120,34827,25,0,2881,54642,25,177.77777777777777
2005-06-01,111,34954,10,0,2491,51993,10,-60.0
2005-07-01,158,33950,27,0,2681,55058,27,170.00000000000003
2005-08-01,160,32277,24,0,2523,56284,24,-11.111111111111116
2005-09-01,175,34888,21,0,3289,57836,21,-12.5
2005-10-01,175,35609,22,0,3332,65637,22,4.761904761904767
2005-11-01,156,33027,20,0,3002,56019,20,-9.090909090909093
2005-12-01,143,35853,21,0,3531,57855,21,5.000000000000004
2006-01-01,261,45034,14,0,3500,71274,14,-33.333333333333336
2006-02-01,175,42758,25,0,3888,58594,25,78.57142857142858
2006-03-01,180,52986,23,0,5355,74814,23,-7.9999999999999964
2006-04-01,160,38154,19,0,3732,60695,19,-17.391304347826086
2006-05-01,168,42091,13,0,3414,65624,13,-31.57894736842105
2006-06-01,221,44068,41,0,3833,69416,41,215.3846153846154
2006-07-01,202,42197,29,0,3466,62946,29,-29.268292682926834
2006-08-01,222,40410,42,0,3402,65524,42,44.827586206896555
2006-09-01,221,40940,38,0,3777,66394,38,-9.523809523809524
2006-10-01,221,39217,19,0,3683,71811,19,-50.0
2006-11-01,234,46803,31,0,4391,74216,31,63.1578947368421
2006-12-01,194,38880,14,0,3680,64466,14,-54.83870967741935
2007-01-01,274,49146,21,0,3825,88914,21,50.0
2007-02-01,244,51008,34,0,4029,74967,34,61.904761904761905
2007-03-01,262,58754,46,0,4783,85344,46,35.29411764705883
2007-04-01,213,44628,27,0,3431,69428,27,-41.30434782608695
2007-05-01,266,51854,19,0,3620,75488,19,-29.629629629629626
2007-06-01,258,49167,13,0,3602,70304,13,-31.57894736842105
2007-07-01,222,51538,52,0,3653,74847,52,300.0
2007-08-01,235,50600,30,0,3672,79880,30,-42.307692307692314
2007-09-01,190,46969,36,0,3479,76031,36,19.999999999999996
2007-10-01,231,49610,38,0,3848,79826,38,5.555555555555558
2007-11-01,240,53435,36,0,3756,93320,36,-5.263157894736848
2007-12-01,154,46315,46,0,3401,71746,46,27.777777777777768
2008-01-01,243,61879,41,0,3660,101243,41,-10.869565217391308
2008-02-01,139,59465,80,0,4361,76138,80,95.1219512195122
2008-03-01,128,62922,33,0,4783,76965,33,-58.75
2008-04-01,123,61528,26,0,3380,83027,26,-21.212121212121215
2008-05-01,124,66446,30,0,3572,90159,30,15.384615384615374
2008-06-01,167,59822,51,0,3590,72016,51,70.0
2008-07-01,235,60696,94,0,3501,75540,94,84.31372549019606
2008-08-01,142,52218,61,0,2823,66271,61,-35.1063829787234
2008-09-01,137,54122,56,0,3015,71355,56,-8.196721311475407
2008-10-01,199,54303,43,0,2595,80001,43,-23.214285714285708
2008-11-01,90,54738,44,0,2834,75727,44,2.3255813953488413
2008-12-01,73,48825,47,0,3220,65821,47,6.818181818181812
2009-01-01,163,58198,39,0,3035,99230,39,-17.021276595744684
2009-02-01,128,56068,41,0,3219,82475,41,5.128205128205132
2009-03-01,123,67088,48,0,4025,88410,48,17.07317073170731
2009-04-01,98,57156,43,0,2961,82865,43,-10.416666666666663
2009-05-01,94,61159,21,0,2965,82354,21,-51.162790697674424
2009-06-01,79,66691,21,0,2935,84464,21,0.0
2009-07-01,110,69158,39,0,3310,86149,39,85.71428571428572
2009-08-01,87,61778,26,0,3017,87582,26,-33.333333333333336
2009-09-01,76,64162,40,0,3067,90967,40,53.846153846153854
2009-10-01,83,77377,33,0,3030,117474,33,-17.500000000000004
2009-11-01,62,70640,32,0,3309,96518,32,-3.0303030303030276
2009-12-01,76,64934,18,0,2900,90740,18,-43.75
2010-01-01,104,80022,15,0,3235,118935,15,-16.666666666666664
2010-02-01,68,82073,14,0,4094,105680,14,-6.666666666666665
2010-03-01,94,99152,31,0,4893,131517,31,121.42857142857144
2010-04-01,67,78185,19,0,3694,95074,19,-38.70967741935484
2010-05-01,83,86797,18,0,3159,111654,18,-5.263157894736848
2010-06-01,56,82501,43,0,3302,101805,43,138.88888888888889
2010-07-01,77,82654,29,0,3602,104975,29,-32.55813953488372
2010-08-01,96,80658,37,0,3537,110357,37,27.586206896551737
2010-09-01,318,81391,41,0,4015,114654,41,10.81081081081081
2010-10-01,390,87257,32,0,4515,123230,32,-21.95121951219512
2010-11-01,281,90622,30,0,3907,134418,30,-6.25
2010-12-01,192,92530,59,0,4116,128452,59,96.66666666666666
2011-01-01,153,102749,68,0,3721,153572,68,15.254237288135597
2011-02-01,88,100978,75,0,4602,116046,75,10.294117647058831
2011-03-01,150,119922,74,0,5537,134910,74,-1.3333333333333308
2011-04-01,117,93190,61,0,3435,112483,61,-17.567567567567565
2011-05-01,132,99974,89,0,3571,114375,89,45.9016393442623
2011-06-01,154,107305,72,0,4458,105279,72,-19.10112359550562
2011-07-01,131,103530,58,0,4817,100819,58,-19.444444444444443
2011-08-01,239,98432,64,0,7247,101137,64,10.344827586206895
2011-09-01,220,104622,41,0,4461,102262,41,-35.9375
2011-10-01,219,109224,48,0,3882,111915,48,17.07317073170731
2011-11-01,207,128911,64,0,4582,121222,64,33.33333333333333
2011-12-01,170,118267,57,0,4834,100671,57,-10.9375
2012-01-01,297,140807,85,0,4315,136177,85,49.122807017543856
2012-02-01,230,137044,69,0,4965,109091,69,-18.823529411764707
2012-03-01,222,179312,107,0,5431,137930,107,55.072463768115945
2012-04-01,189,124612,16,0,3867,99970,16,-85.04672897196261
2012-05-01,154,139404,28,0,4238,91833,28,75.0
2012-06-01,196,145698,47,0,4548,86058,47,67.85714285714286
2012-07-01,156,154933,54,0,4359,84997,54,14.893617021276606
2012-08-01,168,133157,40,0,4678,85068,40,-25.92592592592593
2012-09-01,170,116514,32,0,3544,79343,32,-19.999999999999996
2012-10-01,167,129392,22,0,3095,85032,22,-31.25
2012-11-01,178,150815,24,0,3073,114694,24,9.090909090909083
2012-12-01,141,139711,29,0,3457,96440,29,20.833333333333325
2013-01-01,142,164760,28,0,3443,118003,28,-3.4482758620689613
2013-02-01,127,140864,21,0,3628,90784,21,-25.0
2013-03-01,144,152913,30,0,4181,94812,30,42.85714285714286
2013-04-01,145,142036,71,0,3222,98106,71,136.66666666666666
2013-05-01,161,140454,64,0,3384,92886,64,-9.859154929577462
2013-06-01,162,128345,52,0,3669,81149,52,-18.75
2013-07-01,182,131114,41,0,3413,89381,41,-21.153846153846157
2013-08-01,147,120814,41,0,2192,84109,41,0.0
2013-09-01,109,121595,36,0,2017,80824,36,-12.195121951219512
2013-10-01,170,144818,53,0,2764,103734,53,47.22222222222223
2013-11-01,129,137744,32,0,4986,94323,32,-39.62264150943396
2013-12-01,93,130938,39,0,5226,81892,39,21.875
2014-01-01,178,163719,46,0,5426,123330,46,17.948717948717952
2014-02-01,114,126585,27,0,4804,80197,27,-41.30434782608695
2014-03-01,135,151232,40,0,5984,101615,40,48.14814814814814
2014-04-01,130,130162,43,0,4182,97523,43,7.499999999999996
2014-05-01,156,141345,48,0,4874,101732,48,11.627906976744185
2014-06-01,172,137015,25,0,5042,97374,25,-47.916666666666664
2014-07-01,210,141955,29,0,6029,103873,29,15.999999999999993
2014-08-01,191,123771,64,0,9384,96080,64,120.6896551724138
2014-09-01,219,120726,61,0,4198,103427,61,-4.6875
2014-10-01,259,119271,63,0,2831,119262,63,3.2786885245901676
2014-11-01,235,144476,58,0,3927,110896,58,-7.936507936507942
2014-12-01,200,137047,62,0,3774,106136,62,6.896551724137923
2015-01-01,249,155903,76,0,3412,142300,76,22.580645161290324
2015-02-01,176,126068,62,0,3569,107185,62,-18.42105263157895
2015-03-01,163,131777,72,0,4211,117137,72,16.129032258064523
2015-04-01,177,116915,42,0,3126,116616,42,-41.666666666666664
2015-05-01,155,116025,60,0,3179,112783,60,42.85714285714286
2015-06-01,161,120600,70,0,3572,111744,70,16.666666666666675
2015-07-01,160,121233,77,0,3840,107373,77,10.000000000000009
2015-08-01,204,110781,60,0,3431,102569,60,-22.077922077922075
2015-09-01,213,115594,56,0,3233,113571,56,-6.666666666666665
2015-10-01,231,113159,57,0,3297,115640,57,1.7857142857142794
2015-11-01,263,130163,56,0,3377,136781,56,-1.7543859649122862
2015-12-01,192,124206,70,0,4188,126685,70,25.0
2016-01-01,254,133673,87,0,5124,156771,87,24.28571428571429
2016-02-01,157,123377,59,0,3807,129530,59,-32.18390804597702
2016-03-01,137,124621,56,0,6047,133375,56,-5.0847457627118615
2016-04-01,155,111926,66,0,3957,125795,66,17.85714285714286
2016-05-01,114,124751,47,0,4464,129266,47,-28.787878787878785
2016-06-01,117,121094,47,0,5041,121174,47,0.0
2016-07-01,113,113433,52,0,5542,122789,52,10.63829787234043
2016-08-01,142,112713,64,0,3913,132946,64,23.076923076923084
2016-09-01,155,105151,56,0,4203,124227,56,-12.5
2016-10-01,157,132762,81,0,4181,165758,81,44.64285714285714
2016-11-01,145,129043,78,0,3973,143040,78,-3.703703703703709
2016-12-01,137,113061,37,0,4723,123459,37,-52.56410256410257
2017-01-01,141,125022,72,0,3039,171260,72,94.59459459459461
2017-02-01,130,117818,54,0,3734,137326,54,-25.0
2017-03-01,87,158345,80,0,5113,155661,80,48.14814814814814
2017-04-01,75,112873,81,0,3364,141150,81,1.2499999999999956
2017-05-01,61,125601,75,0,3447,151525,75,-7.4074074074074066
2017-06-01,55,138012,80,0,4037,156100,80,6.666666666666665
2017-07-01,53,141701,73,0,3663,141627,73,-8.750000000000002
2017-08-01,40,130643,80,0,3061,139576,80,9.589041095890405
2017-09-01,41,133311,104,0,3107,154353,104,30.000000000000004
2017-10-01,48,132137,104,0,2928,173754,104,0.0
2017-11-01,55,149312,62,0,3784,166496,62,-40.38461538461539
2017-12-01,38,129867,61,0,5361,139589,61,-1.6129032258064502
2018-01-01,44,152509,69,0,5317,192372,69,13.114754098360649
2018-02-01,41,135327,120,0,5268,142483,120,73.91304347826086
2018-03-01,49,158997,94,0,5841,162370,94,-21.666666666666668
2018-04-01,45,140837,95,0,6349,155446,95,1.0638297872340496
2018-05-01,69,143365,113,0,5327,162204,113,18.947368421052623
2018-06-01,93,135515,125,0,4846,147465,125,10.619469026548668
2018-07-01,35,152468,93,0,4601,147962,93,-25.6
2018-08-01,18,132703,79,0,4044,144326,79,-15.053763440860212
2018-09-01,22,117456,95,0,3917,142588,95,20.253164556962023
2018-10-01,10,130186,55,0,4872,158402,55,-42.10526315789473
2018-11-01,21,132993,108,0,5340,182848,108,96.36363636363636
2018-12-01,9,135175,115,1,5770,167169,116,7.407407407407418
2019-01-01,29,158748,63,0,5776,207408,63,-45.689655172413794
2019-02-01,14,131507,157,0,6373,147302,157,149.20634920634922
2019-03-01,15,140893,165,0,6503,157909,165,5.095541401273884
2019-04-01,17,122488,111,0,4741,155476,111,-32.72727272727273
2019-05-01,25,122173,57,0,4830,158500,57,-48.64864864864865
2019-06-01,15,114527,33,0,4061,138432,33,-42.10526315789473
2019-07-01,17,130723,68,0,4074,141831,68,106.06060606060606
2019-08-01,15,118719,85,0,4243,127933,85,25.0
2019-09-01,12,93604,67,0,3862,120343,67,-21.176470588235297
2019-10-01,13,117516,85,0,4557,196082,85,26.865671641791057
2019-11-01,9,133592,86,0,5169,200505,86,1.17647058823529
2019-12-01,13,120976,58,0,5496,154888,58,-32.55813953488372
2020-01-01,28,147370,85,0,5621,208625,85,46.551724137931025
2020-02-01,12,120602,105,0,5676,163215,105,23.529411764705888
2020-03-01,41,116505,244,0,5469,155330,244,132.3809523809524
