State,Immediate Effect (%),Trend Change (%/year),p-value,Sig.,R²,N
RAJASTHAN,104.28,N/A,0.0438,*,0.964,24
ASSAM,92.8,N/A,0.3336,ns,0.738,24
GUJARAT,81.7,N/A,0.0789,ns,0.954,24
WEST BENGAL,76.63,N/A,0.2165,ns,0.914,24
KERALA,71.96,N/A,0.2411,ns,0.941,24
UTTARAKHAND,69.44,N/A,0.0098,**,0.986,24
ARUNACHAL PRADESH,68.87,N/A,0.0522,ns,0.906,24
MAHARASHTRA,67.98,N/A,0.0616,ns,0.976,24
TAMIL NADU,64.8,N/A,0.0796,ns,0.938,24
UTTAR PRADESH,64.6,N/A,0.2563,ns,0.926,24
ODISHA,59.64,N/A,0.2447,ns,0.945,24
UT OF DNH AND DD,55.57,N/A,0.1864,ns,0.895,24
GOA,46.54,N/A,0.4067,ns,0.914,24
CHANDIGARH,45.45,N/A,0.323,ns,0.949,24
KARNATAKA,40.17,N/A,0.1799,ns,0.933,24
HARYANA,30.39,N/A,0.4888,ns,0.947,24
PUNJAB,21.84,N/A,0.6426,ns,0.907,24
DELHI,16.62,N/A,0.7646,ns,0.896,24
PUDUCHERRY,12.76,N/A,0.8071,ns,0.77,24
BIHAR,9.42,N/A,0.7858,ns,0.952,24
MIZORAM,-1.3,N/A,0.9588,ns,0.737,24
HIMACHAL PRADESH,-1.44,N/A,0.9586,ns,0.947,24
SIKKIM,-1.53,N/A,0.9579,ns,0.636,24
NAGALAND,-3.44,N/A,0.8978,ns,0.816,24
LADAKH,-4.27,N/A,0.8694,ns,0.415,24
MADHYA PRADESH,-6.19,N/A,0.8911,ns,0.915,24
MANIPUR,-6.65,N/A,0.813,ns,0.88,24
MEGHALAYA,-11.69,N/A,0.5971,ns,0.919,24
JAMMU AND KASHMIR,-17.24,N/A,0.5502,ns,0.934,24
CHHATTISGARH,-24.77,N/A,0.3465,ns,0.961,24
JHARKHAND,-29.45,N/A,0.4302,ns,0.905,24
TRIPURA,-49.88,N/A,0.0627,ns,0.781,24
ANDHRA PRADESH,-50.68,N/A,0.2793,ns,0.845,24
