State,Immediate Effect (%),Trend Change (%/year),p-value,Sig.,R²,N
ANDHRA PRADESH,3807.67,-12.73,0.0097,**,0.845,24
JHARKHAND,1517.41,-0.33,0.0048,**,0.905,24
UTTAR PRADESH,647.45,69.61,0.0295,*,0.926,24
BIHAR,586.5,42.0,0.0086,**,0.952,24
MADHYA PRADESH,341.73,42.47,0.1243,ns,0.915,24
TRIPURA,295.58,-21.86,0.0639,ns,0.781,24
CHANDIGARH,168.71,72.75,0.1969,ns,0.949,24
HIMACHAL PRADESH,145.4,41.46,0.1202,ns,0.947,24
UTTARAKHAND,68.18,124.1,0.1718,ns,0.986,24
KERALA,57.34,91.95,0.6186,ns,0.941,24
DELHI,48.18,38.6,0.7021,ns,0.896,24
WEST BENGAL,11.84,99.31,0.9012,ns,0.914,24
ARUNACHAL PRADESH,10.73,43.16,0.8421,ns,0.906,24
RAJASTHAN,10.63,132.56,0.8799,ns,0.964,24
LADAKH,-0.0,9.12,1.0,ns,0.415,24
MANIPUR,-4.48,15.73,0.9371,ns,0.88,24
GOA,-4.5,96.57,0.9598,ns,0.914,24
MIZORAM,-5.93,3.36,0.9043,ns,0.737,24
NAGALAND,-19.93,6.63,0.6841,ns,0.816,24
SIKKIM,-21.78,2.93,0.6754,ns,0.636,24
MAHARASHTRA,-22.21,91.63,0.6354,ns,0.976,24
GUJARAT,-22.36,110.16,0.6979,ns,0.954,24
CHHATTISGARH,-26.09,33.76,0.6141,ns,0.961,24
HARYANA,-26.16,50.16,0.6913,ns,0.947,24
MEGHALAYA,-27.16,26.95,0.5017,ns,0.919,24
UT OF DNH AND DD,-29.42,64.99,0.595,ns,0.895,24
JAMMU AND KASHMIR,-32.8,43.56,0.5308,ns,0.934,24
PUNJAB,-37.77,60.36,0.5781,ns,0.907,24
TAMIL NADU,-44.55,91.58,0.2875,ns,0.938,24
ODISHA,-51.62,113.52,0.3632,ns,0.945,24
PUDUCHERRY,-64.38,60.34,0.3013,ns,0.77,24
KARNATAKA,-68.82,62.16,0.0271,*,0.933,24
ASSAM,-74.46,103.34,0.3156,ns,0.738,24
